Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the state of the NA server?,What do you think about the NA pace compared to others servers?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Do you think Aniplex and DW care about the F2P NA player and fanbase?,Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you used more SQ than expected for one servant?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)"
16/02/2019 21:33:01,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,,,,"Zhuge Liang [El-Melloi II], Xuanzang",,Mysterious Heroine X (Alter),,,Yes,Between 6 and 12 months,4,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Both,Ushiwakamaru,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:33:02,F2P,"Artoria Pendragon, Altera",Arjuna,Brynhildr,,,,Florence Nightingale,,,Yes,More than 15 months,5,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",None,Yes,Altera,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:33:13,F2P,,,,,,,,,,No,Between 1 and 3 months,0,No,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",None,Yes,Nero Claudius,Geronimo,Male,"Yes, I did start with a SQ account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:33:38,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Miyamoto Musashi","Gilgamesh, Orion, Arjuna","Scathach, Tamamo no Mae [Lancer]","Francis Drake, Ozymandias, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin","Jack the Ripper, King Hassan","Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō, Mysterious Heroine X (Alter)",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",Yes,Between 6 and 12 months,31,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Lancer Alter,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:33:46,F2P,"Artoria Pendragon, Nero Claudius [Bride]",Gilgamesh,Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern",,Cu Chulainn [Alter],,,Yes,More than 15 months,12,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",Both,Maybe,,,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:33:47,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji","Orion, Ishtar","Scathach, Karna",Quetzalcoatl,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Cleopatra,Vlad III,Jeanne D'arc,,No,More than 15 months,15,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Bedivere,Blackbeard,Female,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:33:59,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji",Ishtar,Tamamo no Mae [Lancer],Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",Shuten Douji,"Florence Nightingale, Minamoto no Raikō",,,No,More than 15 months,13,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,okita,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:34:11,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride]",Artoria Pendragon [Archer],,Quetzalcoatl,"Zhuge Liang [El-Melloi II], Merlin",,Florence Nightingale,,,Yes,Between 6 and 12 months,11,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Hassan of Serenity,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:34:30,F2P,"Altera, Miyamoto Musashi",Gilgamesh,,Quetzalcoatl,Zhuge Liang [El-Melloi II],Jack the Ripper,"Cu Chulainn [Alter], Mysterious Heroine X (Alter)",,,No,More than 15 months,9,Yes,"Bad, DW and Aniplex should do a better management of the NA server","Slow, the content should be released faster to catch up CN/JP",None,Maybe,Siegfried! Or bras's ass but thats not a servant,Merlin bcos he took the challenge away from the game,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:34:33,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Ryougi Shiki","Orion, Arjuna","Scathach, Artoria Pendragon [Lancer]",Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin","Jack the Ripper, MHX",Vlad III,,Jeanne D'arc [Alter],Yes,More than 15 months,20,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:34:35,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,"Orion, Ishtar","Karna, Artoria Pendragon [Lancer]",Ozymandias,"Tamamo-no-mae, Merlin",Cleopatra,Mysterious Heroine X (Alter),,Edmond Dantes,No,Between 6 and 12 months,11,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Merlin,Boudicca,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:35:01,F2P,Artoria Pendragon,,,"Iskandar, Ozymandias",Xuanzang,King Hassan,,Jeanne D'arc,,No,More than 15 months,7,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",Auto-Play,Yes,Kiritsugu,,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:35:01,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji","Gilgamesh, Arjuna","Karna, Tamamo no Mae [Lancer], Enkidu",Ozymandias,"Illyasviel von Einzbern, Merlin",King Hassan,"Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō, Mysterious Heroine X (Alter)",Jeanne D'arc,Edmond Dantes,Yes,More than 15 months,,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",Auto-Play,Ozymandias,Medb,Female,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:35:14,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,Tamamo no Mae [Lancer],"Ozymandias, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Illyasviel von Einzbern, Merlin",Jack the Ripper,Minamoto no Raikō,,,No,Between 6 and 12 months,14,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Atalante alter ,"Saber diarmuid, ",Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:35:25,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,,,,"Queen Medb, Quetzalcoatl","Xuanzang, Merlin",King Hassan,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,,Yes,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",Both,Jalter ,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:35:49,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Orion,"Karna, Artoria Pendragon [Lancer]","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Merlin","Jack the Ripper, MHX, King Hassan","Minamoto no Raikō, Mysterious Heroine X (Alter)",,Jeanne D'arc [Alter],Yes,More than 15 months,17,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Okitan,Benkei,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:00,F2P,,,Karna,"Francis Drake, Ozymandias",,Shuten Douji,Vlad III,Jeanne D'arc,,No,Between 12 and 15 months,6,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",None,Yes,Shuten Douji,,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:03,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Altera,Arjuna,Karna,Quetzalcoatl,"Tamamo-no-mae, Leonardo Da Vinci",,"Sakata Kintoki, Vlad III",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",No,More than 15 months,15,No,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Edmond Dantes,,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:07,F2P,Mordred,,,,"Illyasviel von Einzbern, Merlin",,,,,No,Between 12 and 15 months,3,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",NP Skip,Maybe,Mash,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:14,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Miyamoto Musashi","Gilgamesh, Orion, Arjuna, Artoria Pendragon [Archer]","Karna, Tamamo no Mae [Lancer]",Ozymandias,"Tamamo-no-mae, Leonardo Da Vinci, Merlin",Jack the Ripper,"Sakata Kintoki, Vlad III",,"Jeanne D'arc [Alter], Edmond Dantes",Yes,More than 15 months,18,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",None,Tamamo No Mae,,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:14,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,,Scathach,,"Illyasviel von Einzbern, Merlin",Jack the Ripper,"Sakata Kintoki, Minamoto no Raikō",,,No,More than 15 months,8,No,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",Both,Ibaraki-Douji,Mephistopheles,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:28,F2P,"Artoria Pendragon, Mordred",,,Francis Drake,"Tamamo-no-mae, Illyasviel von Einzbern",,"Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,,No,More than 15 months,,No,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",None,Maybe,Medusa,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:34,F2P,"Mordred, Nero Claudius [Bride]",Artoria Pendragon [Archer],,,"Xuanzang, Merlin",,Vlad III,,,No,More than 15 months,6,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",NP Skip,Maybe,Martha,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:36,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miyamoto Musashi,"Arjuna, Ishtar",,Ozymandias,"Xuanzang, Merlin",Jack the Ripper,Vlad III,,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,10,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Merlin,,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:44,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki","Orion, Arjuna","Karna, Artoria Pendragon [Lancer]",Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern, Merlin",Jack the Ripper,Minamoto no Raikō,,Jeanne D'arc [Alter],Yes,More than 15 months,25,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Paul Bunyan,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:49,F2P,"Altera, Mordred",Orion,,,,,,,,No,Between 6 and 12 months,3,No,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",Both,Maybe,Arash,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:54,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Ryougi Shiki, Miyamoto Musashi","Gilgamesh, Orion",Tamamo no Mae [Lancer],"Francis Drake, Queen Medb, Quetzalcoatl","Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern, Merlin","Jack the Ripper, MHX, Shuten Douji, Cleopatra, King Hassan","Vlad III, Florence Nightingale, Mysterious Heroine X (Alter)",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,38,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Auto-Play,BB,,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:36:59,F2P,"Artoria Pendragon, Mordred",,"Karna, Tamamo no Mae [Lancer], Enkidu",,"Tamamo-no-mae, Leonardo Da Vinci, Merlin",,"Vlad III, Minamoto no Raikō",,Jeanne D'arc [Alter],No,Between 6 and 12 months,11,No,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",Auto-Play,Maybe,Hans Christian Andersen,,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:37:02,F2P,"Altera, Miyamoto Musashi",,,,,,,Jeanne D'arc,,No,More than 15 months,3,No,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",None,Maybe,Emiya,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:37:04,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Miyamoto Musashi",Ishtar,"Karna, Tamamo no Mae [Lancer]",Francis Drake,Merlin,"Jack the Ripper, Shuten Douji","Vlad III, Florence Nightingale, Mysterious Heroine X (Alter)",Jeanne D'arc,Jeanne D'arc [Alter],No,Between 12 and 15 months,17,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Ishtar,,Male,Between 11 and 20,,,,,,No
16/02/2019 21:37:23,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,,,,,"Zhuge Liang [El-Melloi II], Xuanzang, Merlin",,,,"Jeanne D'arc [Alter], Edmond Dantes",Yes,Between 6 and 12 months,5,,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",None,Jalter,Skadi,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:37:41,F2P,"Mordred, Miyamoto Musashi",,,Ozymandias,Zhuge Liang [El-Melloi II],King Hassan,"Vlad III, Mysterious Heroine X (Alter)",,,No,Between 6 and 12 months,7,No,"Not good not bad, DW and Aniplex could do better management of the NA server","Slow, the content should be released faster to catch up CN/JP",NP Skip,No,King hassan,,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:37:53,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Miyamoto Musashi","Orion, Nikola Tesla, Arjuna, Artoria Pendragon [Archer]","Scathach, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]","Francis Drake, Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern",MHX,"Vlad III, Cu Chulainn [Alter], Florence Nightingale, Mysterious Heroine X (Alter)","Jeanne D'arc, Amakusa Shirou","Jeanne D'arc [Alter], Edmond Dantes",Yes,More than 15 Months,29,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Scathach,Tesla,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:38:02,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Mordred, Ryougi Shiki",Arjuna,"Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]",Queen Medb,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern","Jack the Ripper, Shuten Douji, Cleopatra","Cu Chulainn [Alter], Mysterious Heroine X (Alter)",Jeanne D'arc,,Yes,More than 15 months,20,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Auto-Play,Mochizuki Chiyome,Boudica,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:38:03,F2P,,,,,,,,,,No,Between 1 and 3 months,0,No,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",Auto-Play,Maybe,Cu Chulainn,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:38:07,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji","Gilgamesh, Arjuna, Artoria Pendragon [Archer]","Scathach, Karna, Brynhildr","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Merlin","Jack the Ripper, Shuten Douji, King Hassan",Vlad III,"Jeanne D'arc, Amakusa Shirou",,Yes,More than 15 months,19,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Okita Souji,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 21:38:08,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon [Archer],Scathach,Queen Medb,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci, Merlin",,Florence Nightingale,"Jeanne D'arc, Amakusa Shirou","Jeanne D'arc [Alter], Edmond Dantes",Yes,More than 15 months,12,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Auto-Play,"My Uomo Universale, Leonardo da Vinci!",Blackbeard,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
